nohup: ignoring input
W1015 11:33:29.316000 765755 torch/distributed/run.py:774] 
W1015 11:33:29.316000 765755 torch/distributed/run.py:774] *****************************************
W1015 11:33:29.316000 765755 torch/distributed/run.py:774] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W1015 11:33:29.316000 765755 torch/distributed/run.py:774] *****************************************
Overriding: run = dummy
2025-10-15 11:33:38,523 - nanochat.common - [32m[1mINFO[0m - Distributed world size: 8
2025-10-15 11:33:38,525 - nanochat.checkpoint_manager - [32m[1mINFO[0m - No model tag provided, guessing model tag: d20
2025-10-15 11:33:38,525 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Loading model from /root/.cache/nanochat/mid_checkpoints/d20 with step 765
2025-10-15 11:33:39,381 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Building model with config: {'sequence_len': 2048, 'vocab_size': 65536, 'n_layer': 20, 'n_head': 10, 'n_kv_head': 10, 'n_embd': 1280}
Target examples per step: 32
Device batch size: 4
Examples per step is device_batch_size * ddp_world_size: 32
=> Setting grad accum steps: 1
Scaling the LR for the AdamW parameters ∝1/√(1280/768) = 0.774597
Muon: Grouping 80 params of shape torch.Size([1280, 1280]), device cuda:0, dtype torch.float32
Muon: Grouping 20 params of shape torch.Size([1280, 5120]), device cuda:0, dtype torch.float32
Muon: Grouping 20 params of shape torch.Size([5120, 1280]), device cuda:0, dtype torch.float32
Step 00000 | Validation loss: 1.077368
Step 00000/00651 | Training loss: 0.937128| lrm: 1.000000| num_tokens: 15,439
Step 00001/00651 | Training loss: 0.936788| lrm: 0.998464| num_tokens: 15,906
Step 00002/00651 | Training loss: 0.801173| lrm: 0.996928| num_tokens: 11,359
Step 00003/00651 | Training loss: 1.301836| lrm: 0.995392| num_tokens: 16,119
Step 00004/00651 | Training loss: 1.294267| lrm: 0.993856| num_tokens: 14,534
Step 00005/00651 | Training loss: 1.108793| lrm: 0.992320| num_tokens: 10,303
Step 00006/00651 | Training loss: 0.967826| lrm: 0.990783| num_tokens: 10,569
Step 00007/00651 | Training loss: 1.395195| lrm: 0.989247| num_tokens: 15,296
Step 00008/00651 | Training loss: 1.152250| lrm: 0.987711| num_tokens: 9,396
Step 00009/00651 | Training loss: 0.819304| lrm: 0.986175| num_tokens: 5,528
Step 00010/00651 | Training loss: 0.578695| lrm: 0.984639| num_tokens: 11,459
Step 00011/00651 | Training loss: 0.993202| lrm: 0.983103| num_tokens: 11,076
Step 00012/00651 | Training loss: 1.497452| lrm: 0.981567| num_tokens: 6,947
Step 00013/00651 | Training loss: 1.004714| lrm: 0.980031| num_tokens: 11,349
Step 00014/00651 | Training loss: 1.125694| lrm: 0.978495| num_tokens: 13,595
Step 00015/00651 | Training loss: 0.809555| lrm: 0.976959| num_tokens: 7,348
Step 00016/00651 | Training loss: 1.059998| lrm: 0.975422| num_tokens: 11,190
Step 00017/00651 | Training loss: 0.796868| lrm: 0.973886| num_tokens: 8,159
Step 00018/00651 | Training loss: 1.076272| lrm: 0.972350| num_tokens: 13,802
Step 00019/00651 | Training loss: 0.388932| lrm: 0.970814| num_tokens: 9,137
Step 00020/00651 | Training loss: 0.380978| lrm: 0.969278| num_tokens: 13,831
Step 00021/00651 | Training loss: 0.914758| lrm: 0.967742| num_tokens: 8,440
Step 00022/00651 | Training loss: 0.969899| lrm: 0.966206| num_tokens: 7,233
Step 00023/00651 | Training loss: 0.508376| lrm: 0.964670| num_tokens: 8,942
Step 00024/00651 | Training loss: 0.835200| lrm: 0.963134| num_tokens: 11,922
Step 00025/00651 | Training loss: 0.644770| lrm: 0.961598| num_tokens: 11,863
Step 00026/00651 | Training loss: 1.153404| lrm: 0.960061| num_tokens: 12,664
Step 00027/00651 | Training loss: 1.109654| lrm: 0.958525| num_tokens: 9,756
Step 00028/00651 | Training loss: 0.945321| lrm: 0.956989| num_tokens: 10,590
Step 00029/00651 | Training loss: 0.560970| lrm: 0.955453| num_tokens: 10,393
Step 00030/00651 | Training loss: 0.430600| lrm: 0.953917| num_tokens: 11,434
Step 00031/00651 | Training loss: 0.905597| lrm: 0.952381| num_tokens: 7,126
Step 00032/00651 | Training loss: 1.042657| lrm: 0.950845| num_tokens: 10,146
Step 00033/00651 | Training loss: 0.767631| lrm: 0.949309| num_tokens: 13,292
Step 00034/00651 | Training loss: 0.893237| lrm: 0.947773| num_tokens: 16,122
Step 00035/00651 | Training loss: 0.887512| lrm: 0.946237| num_tokens: 10,813
Step 00036/00651 | Training loss: 0.770500| lrm: 0.944700| num_tokens: 11,640
Step 00037/00651 | Training loss: 1.298880| lrm: 0.943164| num_tokens: 10,466
Step 00038/00651 | Training loss: 1.193433| lrm: 0.941628| num_tokens: 11,990
Step 00039/00651 | Training loss: 1.042211| lrm: 0.940092| num_tokens: 12,631
Step 00040/00651 | Training loss: 0.974649| lrm: 0.938556| num_tokens: 10,748
Step 00041/00651 | Training loss: 0.632214| lrm: 0.937020| num_tokens: 7,041
Step 00042/00651 | Training loss: 1.172460| lrm: 0.935484| num_tokens: 11,835
Step 00043/00651 | Training loss: 1.288878| lrm: 0.933948| num_tokens: 13,247
Step 00044/00651 | Training loss: 0.542500| lrm: 0.932412| num_tokens: 8,712
Step 00045/00651 | Training loss: 1.403805| lrm: 0.930876| num_tokens: 11,699
Step 00046/00651 | Training loss: 1.115288| lrm: 0.929339| num_tokens: 15,336
Step 00047/00651 | Training loss: 1.135745| lrm: 0.927803| num_tokens: 11,480
Step 00048/00651 | Training loss: 0.975275| lrm: 0.926267| num_tokens: 13,115
Step 00049/00651 | Training loss: 0.983690| lrm: 0.924731| num_tokens: 6,127
Step 00050/00651 | Training loss: 1.500778| lrm: 0.923195| num_tokens: 15,852
Step 00051/00651 | Training loss: 0.796957| lrm: 0.921659| num_tokens: 8,189
Step 00052/00651 | Training loss: 0.924704| lrm: 0.920123| num_tokens: 12,347
Step 00053/00651 | Training loss: 0.917896| lrm: 0.918587| num_tokens: 11,689
Step 00054/00651 | Training loss: 0.776040| lrm: 0.917051| num_tokens: 10,377
Step 00055/00651 | Training loss: 0.504577| lrm: 0.915515| num_tokens: 12,271
Step 00056/00651 | Training loss: 0.923070| lrm: 0.913978| num_tokens: 12,328
Step 00057/00651 | Training loss: 0.801677| lrm: 0.912442| num_tokens: 12,996
Step 00058/00651 | Training loss: 0.784908| lrm: 0.910906| num_tokens: 10,543
Step 00059/00651 | Training loss: 1.029026| lrm: 0.909370| num_tokens: 10,478
Step 00060/00651 | Training loss: 0.406721| lrm: 0.907834| num_tokens: 12,855
Step 00061/00651 | Training loss: 0.849730| lrm: 0.906298| num_tokens: 9,832
Step 00062/00651 | Training loss: 1.102424| lrm: 0.904762| num_tokens: 14,414
Step 00063/00651 | Training loss: 1.022290| lrm: 0.903226| num_tokens: 12,270
Step 00064/00651 | Training loss: 1.080375| lrm: 0.901690| num_tokens: 9,208
Step 00065/00651 | Training loss: 0.313078| lrm: 0.900154| num_tokens: 8,682
Step 00066/00651 | Training loss: 0.593141| lrm: 0.898618| num_tokens: 11,240
Step 00067/00651 | Training loss: 0.513827| lrm: 0.897081| num_tokens: 11,320
Step 00068/00651 | Training loss: 0.558692| lrm: 0.895545| num_tokens: 15,527
Step 00069/00651 | Training loss: 1.162609| lrm: 0.894009| num_tokens: 10,756
Step 00070/00651 | Training loss: 1.190838| lrm: 0.892473| num_tokens: 8,714
Step 00071/00651 | Training loss: 0.768586| lrm: 0.890937| num_tokens: 11,828
Step 00072/00651 | Training loss: 0.579928| lrm: 0.889401| num_tokens: 11,026
Step 00073/00651 | Training loss: 0.629006| lrm: 0.887865| num_tokens: 11,166
Step 00074/00651 | Training loss: 0.465917| lrm: 0.886329| num_tokens: 9,326
Step 00075/00651 | Training loss: 1.035271| lrm: 0.884793| num_tokens: 11,484
Step 00076/00651 | Training loss: 0.499107| lrm: 0.883257| num_tokens: 11,683
Step 00077/00651 | Training loss: 0.485593| lrm: 0.881720| num_tokens: 7,879
Step 00078/00651 | Training loss: 1.161867| lrm: 0.880184| num_tokens: 11,109
Step 00079/00651 | Training loss: 0.891172| lrm: 0.878648| num_tokens: 12,106
Step 00080/00651 | Training loss: 0.758241| lrm: 0.877112| num_tokens: 13,192
Step 00081/00651 | Training loss: 0.766645| lrm: 0.875576| num_tokens: 5,432
Step 00082/00651 | Training loss: 0.482810| lrm: 0.874040| num_tokens: 11,228
Step 00083/00651 | Training loss: 0.690157| lrm: 0.872504| num_tokens: 11,759
Step 00084/00651 | Training loss: 0.835885| lrm: 0.870968| num_tokens: 10,086
Step 00085/00651 | Training loss: 0.562981| lrm: 0.869432| num_tokens: 8,880
Step 00086/00651 | Training loss: 0.773114| lrm: 0.867896| num_tokens: 8,872
Step 00087/00651 | Training loss: 1.104897| lrm: 0.866359| num_tokens: 15,917
Step 00088/00651 | Training loss: 0.861034| lrm: 0.864823| num_tokens: 10,945
Step 00089/00651 | Training loss: 1.000717| lrm: 0.863287| num_tokens: 12,078
Step 00090/00651 | Training loss: 1.134576| lrm: 0.861751| num_tokens: 8,958
Step 00091/00651 | Training loss: 1.116181| lrm: 0.860215| num_tokens: 14,061
Step 00092/00651 | Training loss: 0.961298| lrm: 0.858679| num_tokens: 10,559
Step 00093/00651 | Training loss: 1.135402| lrm: 0.857143| num_tokens: 9,796
Step 00094/00651 | Training loss: 1.128104| lrm: 0.855607| num_tokens: 9,616
Step 00095/00651 | Training loss: 0.437054| lrm: 0.854071| num_tokens: 9,641
Step 00096/00651 | Training loss: 0.865614| lrm: 0.852535| num_tokens: 10,514
Step 00097/00651 | Training loss: 0.526770| lrm: 0.850998| num_tokens: 8,603
Step 00098/00651 | Training loss: 0.857646| lrm: 0.849462| num_tokens: 11,923
Step 00099/00651 | Training loss: 1.409915| lrm: 0.847926| num_tokens: 12,097
Step 00100 | Validation loss: 1.070969
Step 00100/00651 | Training loss: 1.252015| lrm: 0.846390| num_tokens: 11,137
Step 00101/00651 | Training loss: 0.775846| lrm: 0.844854| num_tokens: 10,328
Step 00102/00651 | Training loss: 0.448002| lrm: 0.843318| num_tokens: 9,696
Step 00103/00651 | Training loss: 0.829538| lrm: 0.841782| num_tokens: 14,299
Step 00104/00651 | Training loss: 0.878031| lrm: 0.840246| num_tokens: 10,261
